,date,code,name,market,code_33,category_33,code_17,category_17,code_scale,scale
0,20171031,1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN,-,-,-,-,-,-
1,20171031,3483,翔栄,PRO Market,8050,不動産業,17,不動産 ,-,-
2,20171031,3484,テンポイノベーション,マザーズ（内国株）,8050,不動産業,17,不動産 ,-,-
3,20171031,3995,ＳＫＩＹＡＫＩ,マザーズ（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4,20171031,4124,大阪油化工業,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
5,20171031,6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
6,20171031,6556,ウェルビー,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
7,20171031,6557,ｇｌｏｂａｌ　ｂｒｉｄｇｅ　ＨＯＬＤＩＮＧＳ,PRO Market,9050,サービス業,10,情報通信・サービスその他 ,-,-
8,20171031,7196,Ｃａｓａ,市場第二部（内国株）,7200,その他金融業,16,金融（除く銀行） ,-,-
9,20171031,9261,クボデラ,PRO Market,6050,卸売業,13,商社・卸売 ,-,-
10,20171031,9262,シルバーライフ,マザーズ（内国株）,6100,小売業,14,小売 ,-,-
11,20171031,9284,カナディアン・ソーラー・インフラ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
12,20171031,9388,パパネッツ,PRO Market,5200,倉庫・運輸関連業,12,運輸・物流 ,-,-
13,20171130,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN,-,-,-,-,-,-
14,20171130,3996,サインポスト,マザーズ（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
15,20171130,3997,トレードワークス,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
16,20171130,6558,クックビズ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
17,20171130,6653,正興電機製作所,市場第二部（内国株）,3650,電気機器,9,電機・精密 ,-,-
18,20171130,7807,幸和製作所,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
19,20171130,7808,シー・エス・ランバー,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20,20171130,9263,ビジョナリーホールディングス,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,-,-
21,20171130,9264,ポエック,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売 ,-,-
