,Code,StockName,Date,Open,High,Low,Close,Volume,AdjClose
0,1301,(株)極洋,2016-09-28,分割: 1株 -> 0.1株,,,,,
1,1352,(株)ホウスイ,2017-09-27,分割: 1株 -> 0.1株,,,,,
2,1379,ホクト(株),2000-03-28,分割: 1株 -> 1.2株,,,,,
3,1379,ホクト(株),2001-03-27,分割: 1株 -> 1.2株,,,,,
4,1379,ホクト(株),2002-03-26,分割: 1株 -> 1.2株,,,,,
5,1379,ホクト(株),2003-03-26,分割: 1株 -> 1.1株,,,,,
6,1382,(株)ホーブ,2013-12-26,分割: 1株 -> 100株,,,,,
7,1400,ルーデン・ホールディングス(株),2006-08-28,分割: 1株 -> 5株,,,,,
8,1400,ルーデン・ホールディングス(株),2007-09-03,分割: 1株 -> 0.1株,,,,,
9,1400,ルーデン・ホールディングス(株),2014-03-19,分割: 1株 -> 100株,,,,,
10,1401,(株)エムビーエス,2017-03-29,分割: 1株 -> 10株,,,,,
11,1407,(株)ウエストホールディングス,2011-08-29,分割: 1株 -> 1.5株,,,,,
12,1407,(株)ウエストホールディングス,2013-08-28,分割: 1株 -> 2株,,,,,
13,1408,サムシングホールディングス(株),2011-06-28,分割: 1株 -> 2株,,,,,
14,1408,サムシングホールディングス(株),2012-12-26,分割: 1株 -> 2株,,,,,
15,1408,サムシングホールディングス(株),2013-06-26,分割: 1株 -> 100株,,,,,
16,1429,(株)日本アクア,2014-12-26,分割: 1株 -> 5株,,,,,
17,1430,ファーストコーポレーション(株),2015-11-26,分割: 1株 -> 4株,,,,,
18,1433,ベステラ(株),2016-01-27,分割: 1株 -> 2株,,,,,
19,1433,ベステラ(株),2017-01-27,分割: 1株 -> 3株,,,,,
20,1435,(株)インベスターズクラウド,2016-06-28,分割: 1株 -> 2株,,,,,
21,1491,中外鉱業(株),2000-07-26,分割: 1株 -> 1.153株,,,,,
22,1491,中外鉱業(株),2000-10-26,分割: 1株 -> 1.125株,,,,,
23,1491,中外鉱業(株),2003-08-01,分割: 1株 -> 0.1株,,,,,
24,1515,日鉄鉱業(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
25,1518,三井松島産業(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
26,1552,国際のETF VIX短期先物指数,2017-09-12,分割: 1株 -> 0.005株,,,,,
27,1568,TOPIXブル2倍上場投信,2015-06-18,分割: 1株 -> 2株,,,,,
28,1605,国際石油開発帝石(株),2013-09-26,分割: 1株 -> 400株,,,,,
29,1711,(株)省電舎ホールディングス,2013-09-26,分割: 1株 -> 200株,,,,,
30,1711,(株)省電舎ホールディングス,2014-03-27,分割: 1株 -> 1.095株,,,,,
31,1711,(株)省電舎ホールディングス,2014-06-20,分割: 1株 -> 0.947株,,,,,
32,1716,第一カッター興業(株),2015-06-26,分割: 1株 -> 2株,,,,,
33,1717,明豊ファシリティワークス(株),2005-07-26,分割: 1株 -> 2株,,,,,
34,1718,美樹工業(株),2006-12-26,分割: 1株 -> 2株,,,,,
35,1718,美樹工業(株),2017-06-28,分割: 1株 -> 0.1株,,,,,
36,1720,東急建設(株),2006-08-04,分割: 1株 -> 0.1株,,,,,
37,1722,ミサワホーム(株),2005-05-27,分割: 1株 -> 0.1株,,,,,
38,1726,(株)ビーアールホールディングス,2014-09-26,分割: 1株 -> 2株,,,,,
39,1726,(株)ビーアールホールディングス,2016-09-28,分割: 1株 -> 2株,,,,,
40,1743,コーアツ工業(株),2017-03-29,分割: 1株 -> 0.1株,,,,,
41,1757,クレアホールディングス(株),2004-10-01,分割: 1株 -> 0.1株,,,,,
42,1757,クレアホールディングス(株),2007-05-08,分割: 1株 -> 0.1株,,,,,
43,1757,クレアホールディングス(株),2012-07-11,分割: 1株 -> 0.01株,,,,,
44,1757,クレアホールディングス(株),2013-03-27,分割: 1株 -> 1.25株,,,,,
45,1757,クレアホールディングス(株),2013-06-20,分割: 1株 -> 0.975株,,,,,
46,1762,(株)高松コンストラクショングループ,2000-03-28,分割: 1株 -> 1.2株,,,,,
47,1762,(株)高松コンストラクショングループ,2006-03-28,分割: 1株 -> 2株,,,,,
48,1766,東建コーポレーション(株),2004-06-25,分割: 1株 -> 2株,,,,,
49,1770,藤田エンジニアリング(株),2000-09-26,分割: 1株 -> 2株,,,,,
50,1782,常磐開発(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
51,1783,(株)アジアゲートホールディングス,2008-07-01,分割: 1株 -> 0.1株,,,,,
52,1793,(株)大本組,2017-09-27,分割: 1株 -> 0.2株,,,,,
53,1798,(株)守谷商会,2017-09-27,分割: 1株 -> 0.2株,,,,,
54,1801,大成建設(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
55,1805,飛島建設(株),2003-07-31,分割: 1株 -> 0.5株,,,,,
56,1805,飛島建設(株),2011-09-28,分割: 1株 -> 0.2株,,,,,
57,1807,(株)佐藤渡辺,2017-09-27,分割: 1株 -> 0.2株,,,,,
58,1808,(株)長谷工コーポレーション,2002-08-02,分割: 1株 -> 0.2株,,,,,
59,1808,(株)長谷工コーポレーション,2013-09-26,分割: 1株 -> 0.2株,,,,,
60,1810,松井建設(株),2005-05-26,分割: 1株 -> 1.1株,,,,,
61,1811,(株)錢高組,2017-09-27,分割: 1株 -> 0.1株,,,,,
62,1813,(株)不動テトラ,2004-03-02,分割: 1株 -> 0.2株,,,,,
63,1814,大末建設(株),2001-02-28,分割: 1株 -> 0.5株,,,,,
64,1814,大末建設(株),2014-07-29,分割: 1株 -> 0.1株,,,,,
65,1815,鉄建建設(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
66,1820,西松建設(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
67,1821,三井住友建設(株),2001-08-06,分割: 1株 -> 0.5株,,,,,
68,1821,三井住友建設(株),2005-09-05,分割: 1株 -> 0.1株,,,,,
69,1821,三井住友建設(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
70,1826,佐田建設(株),2015-09-28,分割: 1株 -> 0.2株,,,,,
71,1827,(株)ナカノフドー建設,2004-03-09,分割: 1株 -> 0.5株,,,,,
72,1828,田辺工業(株),2017-03-29,分割: 1株 -> 2株,,,,,
73,1833,(株)奥村組,2017-09-27,分割: 1株 -> 0.2株,,,,,
74,1844,(株)大盛工業,2003-12-05,分割: 1株 -> 0.1株,,,,,
75,1844,(株)大盛工業,2016-01-27,分割: 1株 -> 0.1株,,,,,
76,1847,(株)イチケン,2017-09-27,分割: 1株 -> 0.2株,,,,,
77,1861,(株)熊谷組,2001-03-01,分割: 1株 -> 0.5株,,,,,
78,1861,(株)熊谷組,2003-08-05,分割: 1株 -> 0.2株,,,,,
79,1861,(株)熊谷組,2003-09-03,分割: 1株 -> 1.495株,,,,,
80,1861,(株)熊谷組,2017-09-27,分割: 1株 -> 0.1株,,,,,
81,1867,(株)植木組,2017-09-27,分割: 1株 -> 0.1株,,,,,
82,1879,新日本建設(株),2006-03-28,分割: 1株 -> 2株,,,,,
83,1882,東亜道路工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
84,1884,日本道路(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
85,1885,東亜建設工業(株),2016-09-28,分割: 1株 -> 0.1株,,,,,
86,1888,若築建設(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
87,1890,東洋建設(株),2012-09-26,分割: 1株 -> 0.2株,,,,,
88,1893,五洋建設(株),2007-08-07,分割: 1株 -> 0.5株,,,,,
89,1898,世紀東急工業(株),2014-09-26,分割: 1株 -> 0.2株,,,,,
90,1899,(株)福田組,2017-06-28,分割: 1株 -> 0.2株,,,,,
91,1904,大成温調(株),2016-09-28,分割: 1株 -> 0.5株,,,,,
92,1909,日本ドライケミカル(株),2013-03-27,分割: 1株 -> 2株,,,,,
93,1916,日成ビルド工業(株),2017-09-27,分割: 1株 -> 0.5株,,,,,
94,1929,日特建設(株),2012-09-26,分割: 1株 -> 0.25株,,,,,
