date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,per,pbr,eps,bps,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率,get
--:--,1444,(株)ニッソウ,"2,310",---,---,---,---,---,(,05/14,"2,146","929,000",0.00,0.00,15.69,2.26,147.26,"1,021.67","231,000",100,"2,650","2,071",---,(,--/--,),(,2021/05/16 12:36:55
--:--,1736,(株)オーテック,"2,331",---,---,---,---,---,(,05/14,"13,629","5,700,000",3.22,75.00,10.64,0.78,285.73,"3,143.85","233,100",100,"2,463","2,200","3,800",-100,0,0,0.00,2021/05/16 12:19:17
--:--,1787,(株)ナカボーテック,"5,550",---,---,---,---,---,(,05/14,"14,470","2,602,500",2.88,160.00,23.57,1.80,235.47,"3,079.18","555,000",100,"7,550","4,255","4,900",0,0,0,0.00,2021/05/16 12:20:21
--:--,1788,(株)三東工業社,"2,531",---,---,---,---,---,(,05/14,"1,820","686,000",1.78,45.00,16.72,0.56,151.35,"4,485.06","253,100",100,"2,699","2,180","1,300",+500,0,0,0.00,2021/05/16 12:20:19
--:--,1897,金下建設(株),"3,575",---,---,---,---,---,(,05/14,"13,875","3,806,660",1.40,50.00,77.08,0.45,46.38,"7,955.42","357,500",100,"3,805","3,250",500,-100,0,0,0.00,2021/05/16 12:21:27
--:--,1981,(株)協和日成,"1,030",---,---,---,---,---,(,05/14,"12,744","11,800,000",2.91,30.00,6.82,0.72,151.05,"1,425.71","103,000",100,"1,120",874,"2,300",+200,0,0,0.00,2021/05/16 12:26:11
--:--,1997,暁飯島工業(株),"1,500",---,---,---,---,---,(,05/14,"3,333","2,200,000",2.67,40.00,7.45,0.56,201.42,"2,679.03","150,000",100,"1,555","1,419","12,400",-100,0,0,0.00,2021/05/16 12:26:06
--:--,1999,サイタホールディングス(株),"2,160",---,---,---,---,---,(,05/14,"1,534","661,000",2.31,50.00,5.92,0.38,808.94,"6,118.35","216,000",100,"2,350","1,910",---,(,--/--,),(,2021/05/16 12:25:54
--:--,2137,(株)光ハイツ・ヴェラス,761,---,---,---,---,---,(,05/14,"1,734","2,089,200",---,(,倍,倍,(,(,(,株,(,(,---,(,--/--,),(,2021/05/16 12:27:13
--:--,2349,(株)エヌアイデイ,"1,380",---,---,---,---,---,(,05/14,"18,222","13,109,490",1.59,22.00,11.70,1.07,105.85,"1,336.00","138,000",100,"1,460","1,349","36,200","-2,500",0,0,0.00,2021/05/16 12:33:30
--:--,2449,(株)プラップジャパン,"1,315",---,---,---,---,---,(,05/14,"6,176","4,679,010",3.04,40.00,(,(,),),),用語,),),"4,200",-400,0,0,0.00,2021/05/16 12:35:14
--:--,2708,(株)久世,727,---,---,---,---,---,(,05/14,"2,811","3,882,500",0.00,0.00,(,(,),),),用語,),),"20,200",-300,0,0,0.00,2021/05/16 12:37:06
--:--,2747,北雄ラッキー(株),"3,100",---,---,---,---,---,(,05/14,"3,971","1,264,640",1.61,50.00,15.07,0.77,205.70,"4,007.34","310,000",100,"3,600","3,030","2,600",+100,0,0,0.00,2021/05/16 12:42:51
--:--,2976,日本グランデ(株),771,---,---,---,---,---,(,05/14,962,"1,203,500",1.30,10.00,6.76,0.64,51.52,"1,388.29","77,100",100,920,710,---,(,--/--,),(,2021/05/16 12:49:42
--:--,3055,(株)ほくやく・竹山ホールディングス,729,---,---,---,---,---,(,05/14,"18,178","24,400,000",2.06,15.00,10.65,0.31,64.74,"2,346.36","72,900",100,781,715,---,(,--/--,),(,2021/05/16 12:52:26
--:--,3353,(株)メディカル一光グループ,"2,800",---,---,---,---,---,(,05/14,"11,600","4,070,000",1.43,40.00,12.09,1.00,231.62,"2,791.69","280,000",100,"4,670","2,765","6,000",0,0,0,0.00,2021/05/16 13:02:53
--:--,3437,特殊電極(株),"2,200",---,---,---,---,---,(,05/14,"3,532","1,602,000",1.61,36.00,9.50,0.62,231.49,"3,642.38","220,000",100,"2,370","2,080","3,400",+200,0,0,0.00,2021/05/16 13:05:15
--:--,3442,(株)ＭＩＥコーポレーション,750,---,---,---,---,---,(,05/14,907,"1,209,000",0.00,0.00,5.90,0.63,(,(,(,株,(,(,---,(,--/--,),(,2021/05/16 13:03:34
--:--,3494,(株)マリオン,"1,360",---,---,---,---,---,(,05/14,"2,179","1,602,200",0.66,9.00,30.42,0.57,44.71,"2,475.82","136,000",100,"1,465","1,003","6,600",+400,0,0,0.00,2021/05/16 13:07:40
--:--,3600,(株)フジックス,"1,705",---,---,---,---,---,(,05/14,"2,537","1,468,093",3.67,62.50,13.73,0.28,-95.88,"6,324.44","170,500",100,"1,763","1,559","8,300",0,0,0,0.00,2021/05/16 13:40:11
--:--,4102,丸尾カルシウム(株),"1,456",---,---,---,---,---,(,05/14,"3,521","2,355,200",2.06,30.00,24.82,0.34,58.66,"4,232.12","145,600",100,"1,541","1,368","1,100",0,0,0,0.00,2021/05/16 13:25:30
--:--,4247,ポバール興業(株),"1,350",---,---,---,---,---,(,05/14,"3,557","2,634,800",2.22,30.00,13.63,0.70,84.26,"1,951.11","135,000",100,"1,450","1,020",---,(,--/--,),(,2021/05/16 13:31:02
--:--,4365,松本油脂製薬(株),"10,390",---,---,---,---,---,(,05/14,"47,067","4,512,651",2.41,250.00,16.81,0.60,(,(,(,株,(,(,"4,600",+100,0,0,0.00,2021/05/16 13:30:04
--:--,4624,イサム塗料(株),"3,400",---,---,---,---,---,(,05/14,"8,160","2,400,000",1.47,50.00,14.09,0.42,241.30,"8,096.16","340,000",100,"3,485","3,090","18,700",0,0,0,0.00,2021/05/16 13:45:05
--:--,4628,エスケー化研(株),"39,750",---,---,---,---,---,(,05/14,"123,824","3,134,777",1.01,400.00,14.58,0.88,"2,725.93","45,328.61","3,975,000",100,"42,000","37,850","1,000",+200,0,0,0.00,2021/05/16 13:45:00
--:--,4705,(株)クリップコーポレーション,859,---,---,---,---,---,(,05/14,"3,892","4,536,000",4.66,40.00,16.54,0.61,51.95,"1,412.38","85,900",100,928,733,"2,800",0,0,0,0.00,2021/05/16 13:47:01
--:--,4734,(株)ビーイング,896,---,---,---,---,---,(,05/14,"7,415","8,257,600",---,(,--:--,05/12,BPS,最低購入代金,単元株数,908,年初来安値,※参考指標のリンクは、IFIS株予報のページへ移動します。,"4,100",+100,0,0,0.00,2021/05/16 13:48:44
--:--,4827,ビジネス・ワンホールディングス(株),416,---,---,---,---,---,(,05/14,"1,734","4,148,900",0.96,4.00,3.92,0.57,106.05,732.47,"41,600",100,432,370,---,(,--/--,),(,2021/05/16 13:51:45
--:--,4995,サンケイ化学(株),"1,030",---,---,---,---,---,(,05/14,"1,122","1,019,700",1.84,19.00,6.72,0.37,153.36,"2,788.17","103,000",100,"1,150",966,---,(,--/--,),(,2021/05/16 13:56:52
--:--,5189,櫻護謨(株),"4,000",---,---,---,---,---,(,05/14,"4,149","1,012,000",---,(,--:--,05/13,),),),用語,),),400,0,0,0,0.00,2021/05/16 13:59:38
--:--,5935,元旦ビューティ工業(株),"3,905",---,---,---,---,---,(,05/14,"3,048","771,606",1.66,65.00,28.00,0.65,286.78,"5,861.20","390,500",100,"4,260","3,720",300,0,0,0,0.00,2021/05/16 14:09:30
--:--,5953,昭和鉄工(株),"1,901",---,---,---,---,---,(,05/14,"1,731","897,000",2.63,50.00,6.03,0.29,315.47,"6,547.77","190,100",100,"1,980","1,798",---,(,--/--,),(,2021/05/16 14:11:17
--:--,5964,東洋刃物(株),875,---,---,---,---,---,(,05/14,"1,679","1,865,900",2.29,20.00,11.41,0.67,174.35,"1,349.99","87,500",100,933,724,700,-400,0,0,0.00,2021/05/16 14:10:28
