date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,PER,PBR,EPS,BPS,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率
02/07,1301,(株)極洋,"3,900","3,995","4,050","3,875","3,880","47,600","187,999","3,200～4,600","42,402","10,928,283",1.29,50.00,(連) 15.09,(連) 1.55,(連) 257.06,"(連) 2,504.43","388,000",100,"4,460","2,681","50,900",-900,"32,900","+3,000",1.55
02/07,1418,インターライフホールディングス(株),277,288,289,275,276,"157,800","44,794",197～357,"5,523","20,010,529",1.45,4.00,(連) 44.66,(連) 1.21,(連) 6.18,(連) 228.07,"27,600",100,365,234,"1,134,600","+23,200","72,500","-10,000",15.65
02/07,1417,(株)ミライト・ホールディングス,"1,587","1,646","1,661","1,599","1,599","454,500","737,275","1,187～1,987","136,526","85,381,866",1.88,30.00,(連) 15.81,(連) 0.97,(連) 101.15,"(連) 1,650.25","159,900",100,"1,760","1,023","205,700","+47,800","21,300","+5,900",9.66
02/07,1414,ショーボンドホールディングス(株),"8,010","8,320","8,530","8,160","8,160","105,600","880,626","6,510～9,510","231,520","28,372,590",1.40,114.00,(連) 30.50,(連) 3.17,(連) 267.51,"(連) 2,573.29","816,000",100,"8,960","4,740","54,400","+10,500","46,300","-5,500",1.17
02/07,1413,(株)桧家ホールディングス,"2,370","2,488","2,488","2,400","2,400","24,200","59,427","1,870～2,870","32,580","13,575,000",3.33,80.00,(連) 8.80,(連) 2.20,(連) 272.78,"(連) 1,090.51","240,000",100,"2,828","1,951","343,800","+9,700","4,600",-300,74.74
02/07,1408,サムシングホールディングス(株),494,488,502,488,494,"6,000","2,974",414～574,"2,032","4,114,200",---,---,(連) 338.36,(連) 1.72,(連) 1.46,(連) 287.60,"49,400",100,672,435,"48,100",0,0,0,0.00
02/07,1401,(株)エムビーエス,853,898,900,848,848,"59,800","52,074","703～1,003","6,169","7,275,000",0.00,0.00,(単) 28.43,(単) 3.65,(単) 29.83,(単) 232.59,"84,800",100,980,347,"392,500","+1,700",0,0,0.00
02/07,1400,ルーデン・ホールディングス(株),449,470,486,425,432,"218,200","98,651",369～529,"4,913","11,372,400",0.00,0.00,(連) 181.51,(連) 2.56,(連) 2.38,(連) 168.82,"43,200",100,840,146,"418,000","+93,400",0,0,0.00
02/07,1384,(株)ホクリヨウ,"1,514","1,549","1,562","1,416","1,420","80,600","119,439","1,114～1,914","12,012","8,459,000",1.06,15.00,---,(連) 1.39,---,"(連) 1,018.09","142,000",100,"1,680",720,"207,600","-8,900",0,0,0.00
02/07,1383,ベルグアース(株),"2,110","2,205","2,360","2,135","2,135","35,500","78,645","1,610～2,610","2,711","1,269,900",0.47,10.00,(連) 75.31,(連) 2.39,(連) 28.35,(連) 891.58,"213,500",100,"3,225",942,"92,800",-700,0,0,0.00
02/07,1382,(株)ホーブ,"1,009","1,039","1,076","1,013","1,013","4,100","4,275","709～1,309",772,"762,000",0.00,0.00,(連) ---,(連) 1.97,(連) -60.38,(連) 513.83,"101,300",100,"1,740",940,"25,800","+21,100",0,0,0.00
02/07,1381,(株)アクシーズ,"4,135","4,300","4,435","4,290","4,360","7,100","30,764","3,435～4,835","24,492","5,617,500",1.03,45.00,(連) 12.24,(連) 2.13,(連) 356.13,"(連) 2,044.55","436,000",100,"4,895","1,900","14,200",+700,0,0,0.00
02/07,1380,(株)秋川牧園,709,694,719,694,705,"3,900","2,746",559～859,"2,946","4,179,000",0.71,5.00,(連) 34.58,(連) 1.90,(連) 20.39,(連) 370.29,"70,500",100,755,560,"7,200","+1,400",0,0,0.00
02/07,1379,ホクト(株),"1,994","2,002","2,032","1,995","1,995","153,500","309,053","1,594～2,394","66,551","33,359,040",3.01,60.00,(連) 34.30,(連) 1.26,(連) 58.17,"(連) 1,583.52","199,500",100,"2,227","1,896","56,100","+19,000","53,800","+4,600",1.04
02/07,1377,(株)サカタのタネ,"3,655","3,725","3,755","3,610","3,610","142,200","523,563","2,955～4,355","174,763","48,410,750",0.69,25.00,(連) 30.08,(連) 1.65,(連) 120.00,"(連) 2,186.68","361,000",100,"4,095","3,110","36,600",+500,"100,600","+3,800",0.36
02/07,1663,Ｋ＆Ｏエナジーグループ(株),"1,642","1,680","1,728","1,680","1,704","31,200","53,348","1,242～2,042","51,693","30,336,061",1.64,28.00,(連) 22.22,(連) 0.66,(連) 76.68,"(連) 2,573.99","170,400",100,"1,970","1,613","49,500","+22,500","73,300","-2,300",0.68
